Product Name,Product Price,Product URL
Samsung Galaxy-A27 – Dual SIM 5G 8GB/128GB - black,16105,https://www.jumia.com.eg/samsung-galaxy-a27-dual-sim-5g-8gb128gb-black-134770243.html
"Honor 600 Lite 128GB,8GB - 6.6 inch Mobile Phone - Desert Gold",18555,https://www.jumia.com.eg/honor-600-lite-128gb8gb-6.6-inch-mobile-phone-desert-gold-134695294.html
"Honor X7e Plus 5G ( 8GB+256GB ),Velvet Black+X7e Active",17730,https://www.jumia.com.eg/honor-x7e-plus5g-8gb256gb-velvet-blackx7eactive-134894670.html
"Honor 600 Lite 128GB,8GB - 6.6 inch Mobile Phone - Velvet Black",18555,https://www.jumia.com.eg/honor-600-lite-128gb8gb-6.6-inch-mobile-phone-velvet-black-134695293.html
"Honor X7e Plus 5G ( 8GB+256GB ),Meteor Silver+X7e Active",17730,https://www.jumia.com.eg/honor-x7e-plus5g-8gb256gb-meteor-silverx7eactive-134894672.html
"Honor X7e Plus 5G ( 8GB+256GB ),Desert Gold+X7e Active",17730,https://www.jumia.com.eg/honor-x7e-plus5g-8gb256gb-desert-goldx7eactive-134894671.html
"vivo Y500 - 6.83"" 8GB/256GB 4G Mobile Phone - White + White Buds",19999,https://www.jumia.com.eg/vivo-y500-6.83-8gb256gb-4g-mobile-phone-white-white-buds-134869409.html
"vivo Y500 - 6.83"" 6GB/256GB 4G Mobile Phone - White",17999,https://www.jumia.com.eg/vivo-y500-6.83-6gb256gb-4g-mobile-phone-white-134869405.html
"vivo Y500 - 6.83"" 8GB/256GB 4G Mobile Phone - Blue",19999,https://www.jumia.com.eg/vivo-y500-6.83-8gb256gb-4g-mobile-phone-blue-134869410.html
"vivo Y500 - 6.83"" 6GB/256GB 4G Mobile Phone - Blue",17999,https://www.jumia.com.eg/vivo-y500-6.83-6gb256gb-4g-mobile-phone-blue-134869406.html
Infinix NOTE 60 Mobile Phone with Charger 256GB/8GB-Mist Titanium,18699,https://www.jumia.com.eg/infinix-note-60-mobile-phone-with-charger-256gb8gb-mist-titanium-134515924.html
"XIAOMI Redmi Note 15 6.77"" 8GB RAM/256GB ROM Android 15 5G - Black",17600,https://www.jumia.com.eg/xiaomi-redmi-note-15-6.77-8gb-ram256gb-rom-android-15-5g-black-134075507.html
"Samsung Galaxy A17 - 6.7"" 256GB/8GB Dual SIM 4G Mobile Phone - Black",18355,https://www.jumia.com.eg/galaxy-a17-6.7-256gb8gb-dual-sim-4g-mobile-phone-black-samsung-mpg3873488.html
"Samsung Galaxy A36 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome White, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version",19999,https://www.jumia.com.eg/samsung-galaxy-a36-5g-android-smartphone-256gb-storage-8gb-ram-awesome-white-6x-os-upgrades-large-display-octa-core-processor-1-year-warrantylocal-version-134770487.html
Samsung Galaxy-A27 – Dual SIM 5G 8GB/128GB – LIGHT PINK,16105,https://www.jumia.com.eg/samsung-galaxy-a27-dual-sim-5g-8gb128gb-light-pink-134770264.html
Infinix NOTE 60 Mobile Phone with Charger 256GB/8GB-Fizz Blue,18790,https://www.jumia.com.eg/infinix-note-60-mobile-phone-with-charger-256gb8gb-fizz-blue-134515925.html
Samsung Galaxy-A27 – Dual SIM 5G 8GB/128GB – BLUE,16105,https://www.jumia.com.eg/samsung-galaxy-a27-dual-sim-5g-8gb128gb-blue-134770267.html
OPPO A6 Dual SIM 4G 256GB/8GB - Aurora Gold,16899,https://www.jumia.com.eg/oppo-a6-dual-sim-4g-256gb8gb-aurora-gold-134895128.html
"Samsung  Galaxy A17 Dual SIM, 256GB- 8GB RAM, 4G LTE - Black..",17720,https://www.jumia.com.eg/samsung-galaxy-a17-dual-sim-256gb-8gb-ram-4g-lte-black..-134213231.html
XIAOMI  Redmi Note 15- 4G -Dual SIM-8 GB 256 GB- Black,16499,https://www.jumia.com.eg/xiaomi-redmi-note-15-4g-dual-sim-8-gb-256-gb-black-134202258.html
"Samsung Galaxy A17 Dual SIM, 128GB, 6GB RAM, 4G - Black",17210,https://www.jumia.com.eg/samsung-galaxy-a17-dual-sim-128gb-6gb-ram-4g-black-133821481.html
"Samsung Galaxy A17, 256GB-8GB RAM, 4G LTE, Dual SIM - Gray",17720,https://www.jumia.com.eg/samsung-galaxy-a17-256gb-8gb-ram-4g-lte-dual-sim-gray-134150948.html
"Samsung Galaxy A17, 256GB, 8GB RAM, 4G LTE, Dual SIM - Light Blue",17720,https://www.jumia.com.eg/samsung-galaxy-a17-256gb-8gb-ram-4g-lte-dual-sim-light-blue-134150959.html
Infinix Note 50s Dual SIM 5G 256GB/8GB - Burgundy Red,16499,https://www.jumia.com.eg/infinix-note-50s-dual-sim-5g-256gb8gb-burgundy-red-134233082.html
"XIAOMI  Redmi Note 15 Dual SIM, 256GB, 8GB RAM, 4G LTE - Glacier Blue",16499,https://www.jumia.com.eg/xiaomi-redmi-note-15-dual-sim-256gb-8gb-ram-4g-lte-glacier-blue-134202276.html
"OPPO A6 Dual SIM, 128GB, 6GB RAM, 4G LTE - Aurora Gold",17390,https://www.jumia.com.eg/oppo-a6-dual-sim-128gb-6gb-ram-4g-lte-aurora-gold-134343093.html
"Samsung Galaxy A17 Dual SIM, 128GB, 6GB RAM, 4G - Gray",17210,https://www.jumia.com.eg/samsung-galaxy-a17-dual-sim-128gb-6gb-ram-4g-gray-133825866.html
XIAOMI REDMI Note 15 Dual SIM 4G (8+256G) – Purple,16499,https://www.jumia.com.eg/xiaomi-redmi-note-15-dual-sim-4g-8256g-purple-134202243.html
"Infinix Note 60 , 256 GB , 8 GB , 5G , Dual-SIM - Mist Titanium",19999,https://www.jumia.com.eg/infinix-note-60-256-gb-8-gb-5g-dual-sim-mist-titanium-134559631.html
"Infinix Hot 60i Dual SIM, 256GB, 8GB RAM, 4G LTE - Titanium Silver",15980,https://www.jumia.com.eg/infinix-hot-60i-dual-sim-256gb-8gb-ram-4g-lte-titanium-silver-133880774.html
realme 15t Dual SIM 5G 256GB/8GB - Flowing Silver,16999,https://www.jumia.com.eg/realme-15t-dual-sim-5g-256gb8gb-flowing-silver-134232995.html
"XIAOMI Redmi Note 15 6.77"" 8GB RAM/256GB ROM Android 15 5G - Black",17470,https://www.jumia.com.eg/xiaomi-redmi-note-15-6.77-8gb-ram256gb-rom-android-15-5g-black-134646260.html
XIAOMI REDMI Note 15 Dual SIM 4G (8+256G) – Purple,15400,https://www.jumia.com.eg/xiaomi-redmi-note-15-dual-sim-4g-8256g-purple-134741753.html
"XIAOMI Redmi Note 15,4G ,Dual SIM,8GB 256 GB, black",15400,https://www.jumia.com.eg/xiaomi-redmi-note-154g-dual-sim8gb-256-gb-black-134303602.html
"Infinix Hot 60i Dual SIM, 256GB, 8GB RAM, 4G LTE - Shadow Blue",15980,https://www.jumia.com.eg/infinix-hot-60i-dual-sim-256gb-8gb-ram-4g-lte-shadow-blue-133880790.html
OPPO A6T Dual SIM 5G Crystal Violet 6GB RAM 128GB,17207,https://www.jumia.com.eg/oppo-a6t-dual-sim-5g-crystal-violet-6gb-ram-128gb-134701546.html
"OPPO A6 Dual SIM, 128GB, 6GB RAM, 4G LTE - Sapphire Blue",17390,https://www.jumia.com.eg/oppo-a6-dual-sim-128gb-6gb-ram-4g-lte-sapphire-blue-134343099.html
"Samsung Galaxy A17 Dual SIM, 256GB, 8GB RAM, 4G LTE - Black",16997,https://www.jumia.com.eg/samsung-galaxy-a17-dual-sim-256gb-8gb-ram-4g-lte-black-133913321.html
"realme 12 plus 5G Smartphone - 6.67-inch, 256GB/8GB, 50MP Camera, Green",15999,https://www.jumia.com.eg/realme-12-plus-5g-smartphone-6.67-inch-256gb8gb-50mp-camera-green-135060056.html
"Samsung  Galaxy A73 Android Smartphone, Dual SIM, 8GB RAM, 256GB Storage, 5G, Awesome Gray",17499,https://www.jumia.com.eg/samsung-galaxy-a73-android-smartphone-dual-sim-8gb-ram-256gb-storage-5g-awesome-gray-134490244.html
"Motorola Edge 60 Fusion , 256 GB , 12 GB , 5G , Dual-SIM - Amazonite",18111,https://www.jumia.com.eg/motorola-edge-60-fusion-256-gb-12-gb-5g-dual-sim-amazonite-134772965.html
XIAOMI Redmi Note 15 Dual SIM 5G 256GB/8GB - Mist Purple,18650,https://www.jumia.com.eg/xiaomi-redmi-note-15-dual-sim-5g-256gb8gb-mist-purple-134147172.html
"XIAOMI Redmi Note 15 Dual SIM, 256GB, 8GB RAM, 4G LTE - Glacier Blue",15400,https://www.jumia.com.eg/xiaomi-redmi-note-15-dual-sim-256gb-8gb-ram-4g-lte-glacier-blue-134741723.html
Motorola EDGE 60 FUSION 12G 256G BLUE,18200,https://www.jumia.com.eg/motorola-edge-60-fusion-12g-256g-blue-134711336.html
